fig_name,T,r,g,target_freq,target_strategy,opponent_strategy,wg,r_over_g,target_win_rate,opponent_win_rate,tie_rate,other_rate,finished_trials,expected_trials,is_complete,converged_rate,avg_generation
fig4_B,100,0,5,0.9,ADVISOR,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,9.34
fig4_B,100,1,5,0.9,ADVISOR,LIAR,0.6410256410256411,0.2,0.01,0.99,0.0,0.0,100,100,True,1.0,39.43
fig4_B,100,2,5,0.9,ADVISOR,LIAR,0.6410256410256411,0.4,1.0,0.0,0.0,0.0,100,100,True,1.0,63.42
fig4_B,100,3,5,0.9,ADVISOR,LIAR,0.6410256410256411,0.6,1.0,0.0,0.0,0.0,100,100,True,1.0,36.63
fig4_B,100,4,5,0.9,ADVISOR,LIAR,0.6410256410256411,0.8,0.99,0.01,0.0,0.0,100,100,True,1.0,33.06
fig4_B,100,5,5,0.9,ADVISOR,LIAR,0.6410256410256411,1.0,0.66,0.34,0.0,0.0,100,100,True,1.0,34.02
fig4_B,100,6,5,0.9,ADVISOR,LIAR,0.6410256410256411,1.2,0.32,0.68,0.0,0.0,100,100,True,1.0,31.38
fig4_B,100,7,5,0.9,ADVISOR,LIAR,0.6410256410256411,1.4,0.12,0.88,0.0,0.0,100,100,True,1.0,22.81
fig4_B,100,8,5,0.9,ADVISOR,LIAR,0.6410256410256411,1.6,0.03,0.97,0.0,0.0,100,100,True,1.0,19.78
fig4_B,100,9,5,0.9,ADVISOR,LIAR,0.6410256410256411,1.8,0.04,0.96,0.0,0.0,100,100,True,1.0,18.12
fig4_B,100,10,5,0.9,ADVISOR,LIAR,0.6410256410256411,2.0,0.01,0.99,0.0,0.0,100,100,True,1.0,16.49
fig4_B,200,0,5,0.9,ADVISOR,LIAR,1.2820512820512822,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,9.26
fig4_B,200,1,5,0.9,ADVISOR,LIAR,1.2820512820512822,0.2,1.0,0.0,0.0,0.0,100,100,True,1.0,74.02
fig4_B,200,2,5,0.9,ADVISOR,LIAR,1.2820512820512822,0.4,1.0,0.0,0.0,0.0,100,100,True,1.0,15.74
