fig_name,T,r,g,target_freq,target_strategy,opponent_strategy,wg,r_over_g,target_win_rate,opponent_win_rate,tie_rate,other_rate,finished_trials,expected_trials,is_complete,converged_rate,avg_generation
fig5,100,5,5,0.1,ADVISOR,LIAR,0.6410256410256411,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,1.79
fig5,100,5,5,0.2,ADVISOR,LIAR,0.6410256410256411,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,2.65
fig5,100,5,5,0.3,ADVISOR,LIAR,0.6410256410256411,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,3.43
fig5,100,5,5,0.4,ADVISOR,LIAR,0.6410256410256411,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,4.41
fig5,100,5,5,0.5,ADVISOR,LIAR,0.6410256410256411,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,5.48
fig5,100,5,5,0.6,ADVISOR,LIAR,0.6410256410256411,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,7.21
fig5,100,5,5,0.7,ADVISOR,LIAR,0.6410256410256411,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,10.34
fig5,100,5,5,0.8,ADVISOR,LIAR,0.6410256410256411,1.0,0.02,0.98,0.0,0.0,100,100,True,1.0,20.15
fig5,100,5,5,0.9,ADVISOR,LIAR,0.6410256410256411,1.0,0.72,0.28,0.0,0.0,100,100,True,1.0,33.28
fig5,200,5,5,0.1,ADVISOR,LIAR,1.2820512820512822,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,1.93
fig5,200,5,5,0.2,ADVISOR,LIAR,1.2820512820512822,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,2.68
fig5,200,5,5,0.3,ADVISOR,LIAR,1.2820512820512822,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,3.45
fig5,200,5,5,0.4,ADVISOR,LIAR,1.2820512820512822,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,4.4
fig5,200,5,5,0.5,ADVISOR,LIAR,1.2820512820512822,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,5.75
fig5,200,5,5,0.6,ADVISOR,LIAR,1.2820512820512822,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,7.71
fig5,200,5,5,0.7,ADVISOR,LIAR,1.2820512820512822,1.0,0.02,0.98,0.0,0.0,100,100,True,1.0,12.69
fig5,200,5,5,0.8,ADVISOR,LIAR,1.2820512820512822,1.0,0.53,0.47,0.0,0.0,100,100,True,1.0,24.96
fig5,200,5,5,0.9,ADVISOR,LIAR,1.2820512820512822,1.0,0.95,0.05,0.0,0.0,100,100,True,1.0,17.93
fig5,300,5,5,0.1,ADVISOR,LIAR,1.9230769230769231,1.0,0.0,1.0,0.0,0.0,100,100,True,1.0,1.93
