task_key,fig_name,T,r,g,rep,seed,target_strategy,opponent_strategy,target_freq,winner,converged,generation,wg,r_over_g
fig5__T=1000__r=5__freq=0.100__rep=0__seed=505400,fig5,1000,5,5,0,505400,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=10__seed=505410,fig5,1000,5,5,10,505410,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=11__seed=505411,fig5,1000,5,5,11,505411,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=12__seed=505412,fig5,1000,5,5,12,505412,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=13__seed=505413,fig5,1000,5,5,13,505413,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=14__seed=505414,fig5,1000,5,5,14,505414,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=15__seed=505415,fig5,1000,5,5,15,505415,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=16__seed=505416,fig5,1000,5,5,16,505416,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=17__seed=505417,fig5,1000,5,5,17,505417,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=18__seed=505418,fig5,1000,5,5,18,505418,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=19__seed=505419,fig5,1000,5,5,19,505419,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=1__seed=505401,fig5,1000,5,5,1,505401,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=20__seed=505420,fig5,1000,5,5,20,505420,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=21__seed=505421,fig5,1000,5,5,21,505421,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=22__seed=505422,fig5,1000,5,5,22,505422,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=23__seed=505423,fig5,1000,5,5,23,505423,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=24__seed=505424,fig5,1000,5,5,24,505424,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=25__seed=505425,fig5,1000,5,5,25,505425,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=26__seed=505426,fig5,1000,5,5,26,505426,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=27__seed=505427,fig5,1000,5,5,27,505427,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=28__seed=505428,fig5,1000,5,5,28,505428,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=29__seed=505429,fig5,1000,5,5,29,505429,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=2__seed=505402,fig5,1000,5,5,2,505402,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=30__seed=505430,fig5,1000,5,5,30,505430,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=31__seed=505431,fig5,1000,5,5,31,505431,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=32__seed=505432,fig5,1000,5,5,32,505432,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=33__seed=505433,fig5,1000,5,5,33,505433,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=34__seed=505434,fig5,1000,5,5,34,505434,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=35__seed=505435,fig5,1000,5,5,35,505435,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=36__seed=505436,fig5,1000,5,5,36,505436,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=37__seed=505437,fig5,1000,5,5,37,505437,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=38__seed=505438,fig5,1000,5,5,38,505438,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=39__seed=505439,fig5,1000,5,5,39,505439,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=3__seed=505403,fig5,1000,5,5,3,505403,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=40__seed=505440,fig5,1000,5,5,40,505440,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=41__seed=505441,fig5,1000,5,5,41,505441,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=42__seed=505442,fig5,1000,5,5,42,505442,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=43__seed=505443,fig5,1000,5,5,43,505443,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=44__seed=505444,fig5,1000,5,5,44,505444,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=45__seed=505445,fig5,1000,5,5,45,505445,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=46__seed=505446,fig5,1000,5,5,46,505446,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=47__seed=505447,fig5,1000,5,5,47,505447,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=48__seed=505448,fig5,1000,5,5,48,505448,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=49__seed=505449,fig5,1000,5,5,49,505449,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=4__seed=505404,fig5,1000,5,5,4,505404,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=50__seed=505450,fig5,1000,5,5,50,505450,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=51__seed=505451,fig5,1000,5,5,51,505451,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=52__seed=505452,fig5,1000,5,5,52,505452,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=53__seed=505453,fig5,1000,5,5,53,505453,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=54__seed=505454,fig5,1000,5,5,54,505454,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=55__seed=505455,fig5,1000,5,5,55,505455,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=56__seed=505456,fig5,1000,5,5,56,505456,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=57__seed=505457,fig5,1000,5,5,57,505457,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=58__seed=505458,fig5,1000,5,5,58,505458,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=59__seed=505459,fig5,1000,5,5,59,505459,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=5__seed=505405,fig5,1000,5,5,5,505405,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=60__seed=505460,fig5,1000,5,5,60,505460,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=61__seed=505461,fig5,1000,5,5,61,505461,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=62__seed=505462,fig5,1000,5,5,62,505462,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=63__seed=505463,fig5,1000,5,5,63,505463,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=64__seed=505464,fig5,1000,5,5,64,505464,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=65__seed=505465,fig5,1000,5,5,65,505465,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=66__seed=505466,fig5,1000,5,5,66,505466,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=67__seed=505467,fig5,1000,5,5,67,505467,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=68__seed=505468,fig5,1000,5,5,68,505468,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=69__seed=505469,fig5,1000,5,5,69,505469,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=6__seed=505406,fig5,1000,5,5,6,505406,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=70__seed=505470,fig5,1000,5,5,70,505470,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=71__seed=505471,fig5,1000,5,5,71,505471,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=72__seed=505472,fig5,1000,5,5,72,505472,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=73__seed=505473,fig5,1000,5,5,73,505473,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=74__seed=505474,fig5,1000,5,5,74,505474,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=75__seed=505475,fig5,1000,5,5,75,505475,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=76__seed=505476,fig5,1000,5,5,76,505476,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
fig5__T=1000__r=5__freq=0.100__rep=77__seed=505477,fig5,1000,5,5,77,505477,ADVISOR,LIAR,0.1,LIAR,True,2,6.410256410256411,1.0
