fig_name,T,r,g,target_freq,target_strategy,opponent_strategy,wg,r_over_g,target_win_rate,opponent_win_rate,tie_rate,other_rate,finished_trials,expected_trials,is_complete,converged_rate,avg_generation
fig7,600,0,5,0.3,LIKE_TFT,LIAR,3.8461538461538463,0.0,1.0,0.0,0.0,0.0,100,100,True,0.0,500.0
fig7,600,0,5,0.4,LIKE_TFT,LIAR,3.8461538461538463,0.0,1.0,0.0,0.0,0.0,100,100,True,0.0,500.0
fig7,600,0,5,0.5,LIKE_TFT,LIAR,3.8461538461538463,0.0,1.0,0.0,0.0,0.0,100,100,True,0.0,500.0
fig7,600,0,5,0.6,LIKE_TFT,LIAR,3.8461538461538463,0.0,1.0,0.0,0.0,0.0,100,100,True,0.0,500.0
fig7,600,0,5,0.7,LIKE_TFT,LIAR,3.8461538461538463,0.0,1.0,0.0,0.0,0.0,100,100,True,0.01,495.81
fig7,600,0,5,0.8,LIKE_TFT,LIAR,3.8461538461538463,0.0,1.0,0.0,0.0,0.0,100,100,True,0.0,500.0
fig7,600,0,5,0.9,LIKE_TFT,LIAR,3.8461538461538463,0.0,1.0,0.0,0.0,0.0,100,100,True,0.0,500.0
fig7,800,0,5,0.1,LIKE_TFT,LIAR,5.128205128205129,0.0,0.0,1.0,0.0,0.0,100,100,True,0.0,500.0
fig7,800,0,5,0.2,LIKE_TFT,LIAR,5.128205128205129,0.0,0.77,0.23,0.0,0.0,100,100,True,0.06,493.69
fig7,800,0,5,0.3,LIKE_TFT,LIAR,5.128205128205129,0.0,1.0,0.0,0.0,0.0,100,100,True,0.04,489.25
fig7,800,0,5,0.4,LIKE_TFT,LIAR,5.128205128205129,0.0,1.0,0.0,0.0,0.0,100,100,True,0.02,495.99
fig7,800,0,5,0.5,LIKE_TFT,LIAR,5.128205128205129,0.0,1.0,0.0,0.0,0.0,100,100,True,0.02,493.5
fig7,800,0,5,0.6,LIKE_TFT,LIAR,5.128205128205129,0.0,1.0,0.0,0.0,0.0,100,100,True,0.04,490.23
fig7,800,0,5,0.7,LIKE_TFT,LIAR,5.128205128205129,0.0,1.0,0.0,0.0,0.0,100,100,True,0.05,488.07
fig7,800,0,5,0.8,LIKE_TFT,LIAR,5.128205128205129,0.0,1.0,0.0,0.0,0.0,100,100,True,0.06,487.02
fig7,800,0,5,0.9,LIKE_TFT,LIAR,5.128205128205129,0.0,1.0,0.0,0.0,0.0,100,100,True,0.03,495.03
fig7,1000,0,5,0.1,LIKE_TFT,LIAR,6.410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,0.0,500.0
fig7,1000,0,5,0.2,LIKE_TFT,LIAR,6.410256410256411,0.0,1.0,0.0,0.0,0.0,100,100,True,0.7,288.24
