task_key,fig_name,T,r,g,rep,seed,target_strategy,opponent_strategy,target_freq,winner,converged,generation,wg,r_over_g
fig7__T=1000__r=0__freq=0.100__rep=0__seed=705400,fig7,1000,0,5,0,705400,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=10__seed=705410,fig7,1000,0,5,10,705410,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=11__seed=705411,fig7,1000,0,5,11,705411,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=12__seed=705412,fig7,1000,0,5,12,705412,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=13__seed=705413,fig7,1000,0,5,13,705413,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=14__seed=705414,fig7,1000,0,5,14,705414,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=15__seed=705415,fig7,1000,0,5,15,705415,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=16__seed=705416,fig7,1000,0,5,16,705416,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=17__seed=705417,fig7,1000,0,5,17,705417,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=18__seed=705418,fig7,1000,0,5,18,705418,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=19__seed=705419,fig7,1000,0,5,19,705419,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=1__seed=705401,fig7,1000,0,5,1,705401,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=20__seed=705420,fig7,1000,0,5,20,705420,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=21__seed=705421,fig7,1000,0,5,21,705421,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=22__seed=705422,fig7,1000,0,5,22,705422,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=23__seed=705423,fig7,1000,0,5,23,705423,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=24__seed=705424,fig7,1000,0,5,24,705424,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=25__seed=705425,fig7,1000,0,5,25,705425,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=26__seed=705426,fig7,1000,0,5,26,705426,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=27__seed=705427,fig7,1000,0,5,27,705427,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=28__seed=705428,fig7,1000,0,5,28,705428,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=29__seed=705429,fig7,1000,0,5,29,705429,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=2__seed=705402,fig7,1000,0,5,2,705402,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=30__seed=705430,fig7,1000,0,5,30,705430,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=31__seed=705431,fig7,1000,0,5,31,705431,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=32__seed=705432,fig7,1000,0,5,32,705432,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=33__seed=705433,fig7,1000,0,5,33,705433,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=34__seed=705434,fig7,1000,0,5,34,705434,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=35__seed=705435,fig7,1000,0,5,35,705435,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=36__seed=705436,fig7,1000,0,5,36,705436,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=37__seed=705437,fig7,1000,0,5,37,705437,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=38__seed=705438,fig7,1000,0,5,38,705438,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=39__seed=705439,fig7,1000,0,5,39,705439,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=3__seed=705403,fig7,1000,0,5,3,705403,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=40__seed=705440,fig7,1000,0,5,40,705440,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=41__seed=705441,fig7,1000,0,5,41,705441,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=42__seed=705442,fig7,1000,0,5,42,705442,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=43__seed=705443,fig7,1000,0,5,43,705443,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=44__seed=705444,fig7,1000,0,5,44,705444,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=45__seed=705445,fig7,1000,0,5,45,705445,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=46__seed=705446,fig7,1000,0,5,46,705446,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=47__seed=705447,fig7,1000,0,5,47,705447,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=48__seed=705448,fig7,1000,0,5,48,705448,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=49__seed=705449,fig7,1000,0,5,49,705449,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=4__seed=705404,fig7,1000,0,5,4,705404,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=50__seed=705450,fig7,1000,0,5,50,705450,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=51__seed=705451,fig7,1000,0,5,51,705451,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=52__seed=705452,fig7,1000,0,5,52,705452,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=53__seed=705453,fig7,1000,0,5,53,705453,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=54__seed=705454,fig7,1000,0,5,54,705454,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=55__seed=705455,fig7,1000,0,5,55,705455,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=56__seed=705456,fig7,1000,0,5,56,705456,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=57__seed=705457,fig7,1000,0,5,57,705457,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=58__seed=705458,fig7,1000,0,5,58,705458,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=59__seed=705459,fig7,1000,0,5,59,705459,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=5__seed=705405,fig7,1000,0,5,5,705405,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=60__seed=705460,fig7,1000,0,5,60,705460,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=61__seed=705461,fig7,1000,0,5,61,705461,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=62__seed=705462,fig7,1000,0,5,62,705462,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=63__seed=705463,fig7,1000,0,5,63,705463,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
fig7__T=1000__r=0__freq=0.100__rep=64__seed=705464,fig7,1000,0,5,64,705464,LIKE_TFT,LIAR,0.1,LIAR,False,500,6.410256410256411,0.0
