task_key,fig_name,T,r,g,rep,seed,target_strategy,opponent_strategy,target_freq,winner,converged,generation,wg,r_over_g
fig8_B__T=100__r=0__freq=0.900__rep=0__seed=802100,fig8_B,100,0,10,0,802100,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,11,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=10__seed=802110,fig8_B,100,0,10,10,802110,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,10,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=11__seed=802111,fig8_B,100,0,10,11,802111,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,10,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=12__seed=802112,fig8_B,100,0,10,12,802112,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,10,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=13__seed=802113,fig8_B,100,0,10,13,802113,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=14__seed=802114,fig8_B,100,0,10,14,802114,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=15__seed=802115,fig8_B,100,0,10,15,802115,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=16__seed=802116,fig8_B,100,0,10,16,802116,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=17__seed=802117,fig8_B,100,0,10,17,802117,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,10,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=18__seed=802118,fig8_B,100,0,10,18,802118,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=19__seed=802119,fig8_B,100,0,10,19,802119,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=1__seed=802101,fig8_B,100,0,10,1,802101,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=20__seed=802120,fig8_B,100,0,10,20,802120,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,10,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=21__seed=802121,fig8_B,100,0,10,21,802121,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,10,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=22__seed=802122,fig8_B,100,0,10,22,802122,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=23__seed=802123,fig8_B,100,0,10,23,802123,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=24__seed=802124,fig8_B,100,0,10,24,802124,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,10,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=25__seed=802125,fig8_B,100,0,10,25,802125,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=26__seed=802126,fig8_B,100,0,10,26,802126,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=27__seed=802127,fig8_B,100,0,10,27,802127,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,10,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=28__seed=802128,fig8_B,100,0,10,28,802128,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=29__seed=802129,fig8_B,100,0,10,29,802129,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=2__seed=802102,fig8_B,100,0,10,2,802102,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=30__seed=802130,fig8_B,100,0,10,30,802130,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=31__seed=802131,fig8_B,100,0,10,31,802131,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
fig8_B__T=100__r=0__freq=0.900__rep=32__seed=802132,fig8_B,100,0,10,32,802132,CONDITIONAL_ADVISOR,LIAR,0.9,LIAR,True,9,1.2820512820512822,0.0
