fig_name,T,r,g,target_freq,target_strategy,opponent_strategy,wg,r_over_g,target_win_rate,opponent_win_rate,tie_rate,other_rate,finished_trials,expected_trials,is_complete,converged_rate,avg_generation
fig8_B,50,0,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,0.0,0.0,1.0,0.0,0.0,100,100,True,1.0,9.33
fig8_B,50,1,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,0.1,0.0,1.0,0.0,0.0,100,100,True,1.0,12.0
fig8_B,50,2,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,0.2,0.0,1.0,0.0,0.0,100,100,True,1.0,17.06
fig8_B,50,3,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,0.3,0.0,1.0,0.0,0.0,100,100,True,1.0,30.19
fig8_B,50,4,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,0.4,0.69,0.31,0.0,0.0,100,100,True,0.63,289.09
fig8_B,50,5,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,0.5,1.0,0.0,0.0,0.0,100,100,True,0.74,301.01
fig8_B,50,6,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,0.6,1.0,0.0,0.0,0.0,100,100,True,0.94,194.7
fig8_B,50,7,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,0.7,1.0,0.0,0.0,0.0,100,100,True,0.97,144.2
fig8_B,50,8,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,0.8,1.0,0.0,0.0,0.0,100,100,True,0.97,125.65
fig8_B,50,9,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,0.9,1.0,0.0,0.0,0.0,100,100,True,1.0,83.75
fig8_B,50,10,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,1.0,1.0,0.0,0.0,0.0,100,100,True,1.0,79.51
fig8_B,50,11,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,1.1,1.0,0.0,0.0,0.0,100,100,True,1.0,61.72
fig8_B,50,12,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,1.2,1.0,0.0,0.0,0.0,100,100,True,1.0,46.51
fig8_B,50,13,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,1.3,1.0,0.0,0.0,0.0,100,100,True,1.0,41.75
fig8_B,50,14,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,1.4,1.0,0.0,0.0,0.0,100,100,True,1.0,32.42
fig8_B,50,15,10,0.9,CONDITIONAL_ADVISOR,LIAR,0.6410256410256411,1.5,1.0,0.0,0.0,0.0,100,100,True,1.0,33.39
